longitude,latitude,event_id
-76.25680311,-6.95005213,290
-76.47335676,-7.24107594,291
-76.47387652,-7.23824576,292
-76.4969775,-7.17690624,293
-76.33135175,-6.81865371,294
-76.50952971,-7.0748471,295
-76.46900577,-7.25084766,296
-76.48425267,-7.23524479,297
-76.26204037,-6.96890958,298
-76.47195287,-7.2418408,299
-76.48011588,-7.23318856,300
-76.49736137,-7.18762227,301
-76.48417135,-7.23432554,302
-76.42403065,-6.96190437,303
-76.51192246,-6.96602859,304
-76.43279277,-6.99655206,305
-76.47008033,-7.05784371,306
-76.51812831,-6.99782554,307
-76.51639851,-7.00195112,308
-76.49372895,-7.16805126,309
-76.46602685,-7.26792464,310
-76.50172825,-7.17941136,311
-76.47079441,-7.25846463,312
-76.55622558,-6.84288784,313
-76.53780711,-6.93832159,314
-76.59155816,-6.79616108,315
-76.55736442,-6.85767631,316
-76.56905031,-6.88463303,317
-76.55961672,-6.84862668,318
-76.56977773,-6.88538801,319
-76.56980754,-6.88658085,320
-76.56992703,-6.88832775,321
-76.49932502,-7.20255713,322
-76.57060994,-6.89180246,323
-76.55689312,-6.86214713,324
-76.57080995,-6.89509058,325
-76.60660532,-6.78137438,326
-76.49577298,-7.20115624,327
-76.49437665,-7.17023065,328
-76.55310724,-6.877652,329
-76.55625359,-6.83923139,330
-76.55300723,-6.87981525,331
-76.57135212,-6.89679539,332
-76.65743427,-7.14621568,333
-76.58931825,-6.7973685,334
-76.49573047,-7.16458366,335
-76.55711668,-6.82873558,336
-76.58754404,-6.79960184,337
-76.53323288,-6.94310349,338
-76.55706795,-6.83383389,339
-76.60857311,-6.7825043,340
-76.53090315,-6.94468655,341
-76.52823712,-6.94784122,342
-76.6004294,-6.79082815,343
-76.52366237,-6.95377022,344
-76.5559827,-6.87341914,345
-76.60673332,-6.78039275,346
-76.37665506,-6.498375745,347
-76.51829107,-6.96029134,348
-76.51843473,-7.02560397,349
-76.51533471,-6.96410582,350
-76.5135997,-6.96928785,351
-76.57033048,-6.88940149,352
-76.60883566,-6.78316388,353
-76.51334585,-6.96853168,354
-76.55651629,-6.83716825,355
-76.50567631,-6.96416895,356
-76.55826856,-7.02996087,357
-76.63894511,-7.14674543,358
-76.5578933,-6.85256394,359
-76.55660074,-6.86468309,360
-76.5948437,-6.795933,361
-76.50064858,-6.96546234,362
-76.56709727,-6.88124168,363
-76.49260767,-6.96850667,364
